month,deaths,coverage_through,note
2022-02,2,,audited air-attack-only reconstruction
2022-03,24,,audited air-attack-only reconstruction
2022-04,2,,audited air-attack-only reconstruction
2022-05,0,,audited air-attack-only reconstruction
2022-06,1,,audited air-attack-only reconstruction
2022-07,0,,audited air-attack-only reconstruction
2022-08,0,,audited air-attack-only reconstruction
2022-09,0,,audited air-attack-only reconstruction
2022-10,14,,audited air-attack-only reconstruction
2022-11,4,,audited air-attack-only reconstruction
2022-12,3,,audited air-attack-only reconstruction
2023-01,1,,audited monthly series
2023-02,0,,audited monthly series
2023-03,0,,audited monthly series
2023-04,0,,audited monthly series
2023-05,2,,audited monthly series
2023-06,3,,audited monthly series
2023-07,0,,audited monthly series
2023-08,2,,audited monthly series
2023-09,0,,audited monthly series
2023-10,0,,audited monthly series
2023-11,0,,audited monthly series
2023-12,33,,audited monthly series
2024-01,4,,audited monthly series
2024-02,6,,audited monthly series
2024-03,0,,audited monthly series
2024-04,0,,audited monthly series
2024-05,0,,audited monthly series
2024-06,0,,audited monthly series
2024-07,33,,audited monthly series
2024-08,0,,audited monthly series
2024-09,0,,audited monthly series
2024-10,0,,audited monthly series
2024-11,0,,audited monthly series
2024-12,1,,audited monthly series
2025-01,5,,audited monthly series
2025-02,1,,audited monthly series
2025-03,3,,audited monthly series
2025-04,14,,audited monthly series
2025-05,2,,audited monthly series
2025-06,41,,audited monthly series
2025-07,38,,audited monthly series
2025-08,25,,audited monthly series
2025-09,9,,audited monthly series
2025-10,9,,audited monthly series
2025-11,17,,audited monthly series
2025-12,2,,audited monthly series
2026-01,6,,audited monthly series
2026-02,0,,audited monthly series
2026-03,0,,audited monthly series
2026-04,4,,audited monthly series
2026-05,26,,audited monthly series
2026-06,15,,audited monthly series
2026-07,54,,audited monthly series
2026-08,30,,audited monthly series
2026-09,18,2026-09-15,partial month through 2026-09-15
