month,deaths_confirmed,event_count
2022-02,0,0
2022-03,0,0
2022-04,0,0
2022-05,0,0
2022-06,0,0
2022-07,0,0
2022-08,0,0
2022-09,0,0
2022-10,0,0
2022-11,0,0
2022-12,0,0
2023-01,0,0
2023-02,0,0
2023-03,0,0
2023-04,0,0
2023-05,0,0
2023-06,0,0
2023-07,0,0
2023-08,0,0
2023-09,0,0
2023-10,0,0
2023-11,0,0
2023-12,2,2
2024-01,0,0
2024-02,0,0
2024-03,0,0
2024-04,0,0
2024-05,0,0
2024-06,0,0
2024-07,0,0
2024-08,4,4
2024-09,2,2
2024-10,4,4
2024-11,2,2
2024-12,9,7
2025-01,4,3
2025-02,5,3
2025-03,4,3
2025-04,7,5
2025-05,3,3
2025-06,6,6
2025-07,6,6
2025-08,2,2
2025-09,0,0
2025-10,5,4
2025-11,4,3
2025-12,0,0
2026-01,2,2
2026-02,1,1
2026-03,3,3
2026-04,10,9
2026-05,4,4
2026-06,16,11
2026-07,21,17
2026-08,25,18
2026-09,12,11
