month,deaths_confirmed,event_count,late_deaths_included
2022-02,0,0,0
2022-03,0,0,0
2022-04,8,1,0
2022-05,2,2,0
2022-06,0,0,0
2022-07,0,0,0
2022-08,0,0,0
2022-09,0,0,0
2022-10,0,0,0
2022-11,0,0,0
2022-12,0,0,0
2023-01,0,0,0
2023-02,0,0,0
2023-03,0,0,0
2023-04,0,0,0
2023-05,0,0,0
2023-06,8,2,2
2023-07,2,2,0
2023-08,0,0,0
2023-09,2,1,0
2023-10,0,0,0
2023-11,0,0,0
2023-12,6,2,1
2024-01,1,1,0
2024-02,6,2,2
2024-03,38,3,1
2024-04,11,2,4
2024-05,0,0,0
2024-06,0,0,0
2024-07,0,0,0
2024-08,0,0,0
2024-09,0,0,0
2024-10,2,2,0
2024-11,15,4,2
2024-12,0,0,0
2025-01,0,0,0
2025-02,0,0,0
2025-03,4,1,0
2025-04,0,0,0
2025-05,5,2,1
2025-06,7,4,0
2025-07,5,4,0
2025-08,0,0,0
2025-09,0,0,0
2025-10,0,0,0
2025-11,0,0,0
2025-12,1,1,1
2026-01,5,1,2
2026-02,3,2,1
2026-03,4,1,2
2026-04,16,5,0
2026-05,1,1,0
2026-06,1,1,0
2026-07,15,7,0
2026-08,0,0,0
2026-09,3,2,0
