month,deaths_confirmed,event_count,late_deaths_included
2022-02,0,0,0
2022-03,0,0,0
2022-04,1,1,0
2022-05,1,1,0
2022-06,0,0,0
2022-07,0,0,0
2022-08,1,1,0
2022-09,34,3,2
2022-10,48,4,1
2022-11,2,2,0
2022-12,0,0,0
2023-01,0,0,0
2023-02,0,0,0
2023-03,13,1,0
2023-04,2,1,0
2023-05,0,0,0
2023-06,0,0,0
2023-07,2,1,0
2023-08,4,2,1
2023-09,0,0,0
2023-10,5,1,0
2023-11,0,0,0
2023-12,9,1,0
2024-01,0,0,0
2024-02,0,0,0
2024-03,3,1,0
2024-04,8,2,3
2024-05,0,0,0
2024-06,0,0,0
2024-07,0,0,0
2024-08,3,1,1
2024-09,3,2,0
2024-10,4,2,1
2024-11,19,3,2
2024-12,21,2,2
2025-01,18,3,2
2025-02,0,0,0
2025-03,3,1,1
2025-04,1,1,0
2025-05,0,0,0
2025-06,0,0,0
2025-07,0,0,0
2025-08,5,2,2
2025-09,8,4,2
2025-10,4,3,1
2025-11,5,1,0
2025-12,0,0,0
2026-01,4,2,0
2026-02,3,2,0
2026-03,6,4,1
2026-04,4,3,0
2026-05,14,3,2
2026-06,22,10,3
2026-07,19,11,1
2026-08,13,4,1
2026-09,4,3,1
