month,kyiv,kharkiv,sevastopol,cherkasy,zhytomyr,dnipro,khmelnytskyi,poltava,rivne,sumy,vinnytsia,kropyvnytskyi,lviv,chernihiv,mykolaiv,lutsk,uzhhorod,ivano-frankivsk,ternopil,chernivtsi
2022-02,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2022-03,24,108,0,0,8,1,0,0,0,22,0,0,0,68,39,4,0,0,0,0
2022-04,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2022-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06,1,3,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2022-07,0,0,0,0,0,4,0,0,0,0,29,5,0,0,2,0,0,0,0,0
2022-08,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022-09,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2022-10,14,1,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2022-11,4,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2022-12,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01,1,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-05,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07,0,0,0,0,0,0,0,0,0,5,0,0,10,0,2,0,0,0,0,0
2023-08,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0
2023-09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2023-10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12,33,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-01,4,14,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02,6,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-03,0,1,1,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0,0,0
2024-04,0,11,0,0,0,3,0,0,0,0,0,0,0,18,5,0,0,0,0,0
2024-05,0,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06,0,5,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-07,33,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2024-08,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2024-09,0,6,0,0,0,1,0,59,0,13,0,1,8,0,0,0,0,0,0,0
2024-10,0,9,0,0,0,5,0,0,0,3,0,0,0,0,1,0,0,0,0,0
2024-11,0,1,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0
2024-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025-01,5,0,0,0,0,0,0,0,0,11,0,0,0,1,2,0,0,0,0,0
2025-02,1,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0
2025-03,3,2,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2025-04,14,7,0,0,0,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0
2025-05,2,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
2025-06,41,15,0,0,0,21,0,0,0,0,0,0,0,3,0,2,0,0,0,0
2025-07,38,1,0,0,0,3,0,4,0,1,1,0,0,0,0,0,0,0,0,5
2025-08,25,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2025-09,9,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2025-10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,17,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,40,0
2025-12,2,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-01,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03,0,15,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0
2026-04,4,2,1,1,0,24,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2026-05,26,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-06,15,12,0,0,0,25,0,2,0,4,0,0,0,0,1,0,0,0,0,0
2026-07,54,8,1,0,0,0,0,0,0,20,0,0,1,3,1,0,0,0,0,0
2026-08,30,4,11,0,3,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0
2026-09,18,1,2,0,0,7,1,0,0,3,0,0,0,0,4,0,0,0,0,0
