city,display_name,oblast,preferred_source_type,preferred_source_name,known_coverage_start,coverage_start_candidate,candidate_requires_external_validation,notes,preferred_event_count,preferred_first_event_utc,preferred_first_event_local_date,preferred_last_event_utc,preferred_max_inter_event_gap_days,raion_name,raion_event_count,raion_first_event_utc,raion_first_event_local_date,hromada_name,hromada_event_count,hromada_first_event_utc,hromada_first_event_local_date,oblast_event_count,oblast_first_event_utc,comparison_start_utc,preferred_alert_hours_since_comparison_start,oblast_alert_hours_since_comparison_start,overlap_hours,preferred_only_hours,oblast_only_hours,preferred_events_without_oblast_overlap,oblast_events_without_preferred_overlap
kyiv,Київ,,exact_city,місто Київ,,,False,Exact city series is maintained from Kyiv municipal open data in update_data.py.,,,,,,,,,,,,,,,,,,,,,,,
vinnytsia,Вінниця,Вінницька область,raion_proxy,Вінницький район,,2022-06-09,True,,300,2022-06-09T10:17:58+00:00,2022-06-09,2026-09-05T11:52:19+00:00,1168.43,Вінницький район,300,2022-06-09T10:17:58+00:00,2022-06-09,м. Вінниця та Вінницька територіальна громада,0,,,1482,2022-03-15T16:10:34+00:00,2022-06-09T10:17:58+00:00,357.597,1807.689,0.345,357.252,1807.344,299,1294
lutsk,Луцьк,Волинська область,raion_proxy,Луцький район,,2025-11-06,True,,119,2025-11-06T14:41:51+00:00,2025-11-06,2026-09-05T12:41:26+00:00,21.87,Луцький район,119,2025-11-06T14:41:51+00:00,2025-11-06,м. Луцьк та Луцька територіальна громада,0,,,800,2022-03-15T16:19:13+00:00,2025-11-06T14:41:51+00:00,108.127,0.0,0.0,108.127,0.0,119,0
dnipro,Дніпро,Дніпропетровська область,raion_proxy,Дніпровський район,,2025-05-02,True,,1826,2025-05-01T21:54:37+00:00,2025-05-02,2026-09-07T04:26:59+00:00,8.02,Дніпровський район,1826,2025-05-01T21:54:37+00:00,2025-05-02,м. Дніпро та Дніпровська територіальна громада,5,2022-03-16T11:37:15+00:00,2022-03-16,5565,2022-03-15T19:23:40+00:00,2025-05-01T21:54:37+00:00,2250.105,342.916,68.172,2181.932,274.743,1795,349
donetsk,Донецьк,Донецька область,oblast,Донецька область,,2022-03-22,True,National raion-level rollout did not apply to Donetsk oblast; oblast is the default fallback.,6877,2022-03-22T13:19:54+00:00,2022-03-22,2025-11-04T06:14:19+00:00,4.56,Донецький район,793,2022-03-18T14:13:55+00:00,2022-03-18,м. Донецьк та Донецька територіальна громада,0,,,6877,2022-03-22T13:19:54+00:00,2022-03-22T13:19:54+00:00,12302.466,12302.466,12302.466,0.0,0.0,0,0
zhytomyr,Житомир,Житомирська область,raion_proxy,Житомирський район,,2022-03-15,True,,384,2022-03-15T18:41:43+00:00,2022-03-15,2026-09-05T12:15:15+00:00,1040.58,Житомирський район,384,2022-03-15T18:41:43+00:00,2022-03-15,м. Житомир та Житомирська територіальна громада,1,2022-03-28T09:02:26+00:00,2022-03-28,1466,2022-03-15T16:11:25+00:00,2022-03-15T18:41:43+00:00,505.674,2289.363,5.371,500.303,2283.992,381,1461
uzhhorod,Ужгород,Закарпатська область,raion_proxy,Ужгородський район,,2025-11-06,True,,89,2025-11-06T14:44:00+00:00,2025-11-06,2026-08-07T14:46:02+00:00,33.39,Ужгородський район,89,2025-11-06T14:44:00+00:00,2025-11-06,м. Ужгород та Ужгородська територіальна громада,0,,,664,2022-03-17T02:21:31+00:00,2025-11-06T14:44:00+00:00,69.251,0.0,0.0,69.251,0.0,89,0
zaporizhzhia,Запоріжжя,Запорізька область,exact_city,м. Запоріжжя та Запорізька територіальна громада,2025-03-19,2025-03-19,False,Validated exact-city stream already used by the dashboard.,2317,2022-03-16T11:40:24+00:00,2022-03-16,2026-09-06T23:44:35+00:00,890.47,Запорізький район,1507,2022-03-17T18:13:04+00:00,2022-03-17,м. Запоріжжя та Запорізька територіальна громада,2317,2022-03-16T11:40:24+00:00,2022-03-16,6686,2022-03-16T20:42:47+00:00,2025-03-18T22:00:00+00:00,4433.607,1750.182,1239.958,3193.649,510.224,1475,339
ivano_frankivsk,Івано-Франківськ,Івано-Франківська область,raion_proxy,Івано-Франківський район,,2025-11-06,True,,97,2025-11-06T14:44:05+00:00,2025-11-06,2026-08-07T14:46:23+00:00,24.09,Івано-Франківський район,97,2025-11-06T14:44:05+00:00,2025-11-06,м. Івано-Франківськ та Івано-Франківська територіальна громада,0,,,742,2022-03-15T16:17:28+00:00,2025-11-06T14:44:05+00:00,88.484,0.0,0.0,88.484,0.0,97,0
kropyvnytskyi,Кропивницький,Кіровоградська область,raion_proxy,Кропивницький район,,2022-03-16,True,,1101,2022-03-16T09:54:13+00:00,2022-03-16,2026-09-06T18:03:15+00:00,1248.99,Кропивницький район,1101,2022-03-16T09:54:13+00:00,2022-03-16,м. Кропивницький та Кропивницька територіальна громада,0,,,3344,2022-03-15T16:15:11+00:00,2022-03-16T09:54:13+00:00,1222.564,3865.615,18.339,1204.225,3847.276,1095,3335
