city,display_name,oblast,states_city_hromada,states_city_hromada_id,states_raion,expected_raion,states_match_score,status,city_events_2025,city_events_2026,city_events_last_90d,raion_events_2026,raion_events_last_90d,city_first_event_2025_2026,city_last_event,city_alert_hours_2026,raion_alert_hours_2026,overlap_hours_2026,city_covered_by_raion_pct_2026,raion_matching_city_pct_2026,jaccard_pct_2026,raion_duration_bias_vs_city_pct_2026
vinnytsia,Вінниця,Вінницька область,м. Вінниця та Вінницька територіальна громада,155,Вінницький район,Вінницький район,100,no_2025_2026_exact_city_events,0,0,0,260,101,,,0.0,247.768,0.0,,0.0,0.0,
lutsk,Луцьк,Волинська область,м. Луцьк та Луцька територіальна громада,225,Луцький район,Луцький район,100,no_2025_2026_exact_city_events,0,0,0,109,23,,,0.0,83.971,0.0,,0.0,0.0,
dnipro,Дніпро,Дніпропетровська область,м. Дніпро та Дніпровська територіальна громада,332,Дніпровський район,Дніпровський район,100,no_2025_2026_exact_city_events,0,0,0,1520,588,,2022-05-02T05:25:03+00:00,0.0,1427.59,0.0,,0.0,0.0,
donetsk,Донецьк,Донецька область,Новодонецька територіальна громада,378,Краматорський район,Донецький район,50,no_2025_2026_exact_city_events,0,0,0,687,203,,,0.0,5425.298,0.0,,0.0,0.0,
zhytomyr,Житомир,Житомирська область,м. Житомир та Житомирська територіальна громада,442,Житомирський район,Житомирський район,100,no_2025_2026_exact_city_events,0,0,0,341,115,,2022-03-28T09:02:26+00:00,0.0,341.831,0.0,,0.0,0.0,
uzhhorod,Ужгород,Закарпатська область,м. Ужгород та Ужгородська територіальна громада,500,Ужгородський район,Ужгородський район,100,no_2025_2026_exact_city_events,0,0,0,76,12,,,0.0,50.644,0.0,,0.0,0.0,
zaporizhzhia,Запоріжжя,Запорізька область,м. Запоріжжя та Запорізька територіальна громада,564,Запорізький район,Запорізький район,100,current_exact_city_candidate,2110,1358,473,1287,383,2025-03-19T14:25:36+00:00,2026-09-06T23:44:35+00:00,2865.036,4892.27,2860.787,99.85,58.48,58.42,70.76
ivano_frankivsk,Івано-Франківськ,Івано-Франківська область,м. Івано-Франківськ та Івано-Франківська територіальна громада,632,Івано-Франківський район,Івано-Франківський район,100,no_2025_2026_exact_city_events,0,0,0,83,14,,,0.0,64.924,0.0,,0.0,0.0,
kropyvnytskyi,Кропивницький,Кіровоградська область,м. Кропивницький та Кропивницька територіальна громада,761,Кропивницький район,Кропивницький район,100,no_2025_2026_exact_city_events,0,0,0,918,389,,,0.0,879.006,0.0,,0.0,0.0,
luhansk,Луганськ,Луганська область,Станично-Луганська територіальна громада,823,Щастинський район,Луганський район,50,no_2025_2026_exact_city_events,0,0,0,0,0,,,0.0,0.0,0.0,,,,
