task_id,city_key,city_label,part,parts_total,episode_start_date_from,episode_start_date_to,frozen_denominator,city_frozen_denominator,status
kropyvnytskyi-P1,kropyvnytskyi,Кропивницький,1,2,2025-09-01,2026-04-28,582,1161,complete
kropyvnytskyi-P2,kropyvnytskyi,Кропивницький,2,2,2026-04-29,2026-09-17,579,1161,complete
kherson-P1,kherson,Херсон,1,3,2025-08-30,2026-02-14,469,1412,pending
kherson-P2,kherson,Херсон,2,3,2026-02-15,2026-06-21,473,1412,pending
kherson-P3,kherson,Херсон,3,3,2026-06-22,2026-09-17,470,1412,pending
odesa-P1,odesa,Одеса,1,3,2025-11-04,2026-03-22,489,1465,pending
odesa-P2,odesa,Одеса,2,3,2026-03-23,2026-07-12,487,1465,pending
odesa-P3,odesa,Одеса,3,3,2026-07-13,2026-09-17,489,1465,pending
cherkasy-P1,cherkasy,Черкаси,1,3,2025-01-10,2025-07-31,517,1548,pending
cherkasy-P2,cherkasy,Черкаси,2,3,2025-08-01,2026-03-24,516,1548,pending
cherkasy-P3,cherkasy,Черкаси,3,3,2026-03-25,2026-09-17,515,1548,pending
mykolaiv-P1,mykolaiv,Миколаїв,1,3,2025-11-05,2026-03-25,551,1648,pending
mykolaiv-P2,mykolaiv,Миколаїв,2,3,2026-03-26,2026-07-13,554,1648,pending
mykolaiv-P3,mykolaiv,Миколаїв,3,3,2026-07-14,2026-09-17,543,1648,pending
chernihiv-P1,chernihiv,Чернігів,1,3,2025-09-03,2026-01-31,557,1677,pending
chernihiv-P2,chernihiv,Чернігів,2,3,2026-02-01,2026-06-06,559,1677,pending
chernihiv-P3,chernihiv,Чернігів,3,3,2026-06-07,2026-09-17,561,1677,pending
dnipro-P1,dnipro,Дніпро,1,4,2025-05-01,2025-10-30,568,2259,pending
dnipro-P2,dnipro,Дніпро,2,4,2025-10-31,2026-03-11,562,2259,pending
dnipro-P3,dnipro,Дніпро,3,4,2026-03-12,2026-06-25,566,2259,pending
dnipro-P4,dnipro,Дніпро,4,4,2026-06-26,2026-09-17,563,2259,pending
sumy-P1,sumy,Суми,1,4,2025-08-06,2025-11-17,573,2297,pending
sumy-P2,sumy,Суми,2,4,2025-11-18,2026-03-04,574,2297,pending
sumy-P3,sumy,Суми,3,4,2026-03-05,2026-06-08,577,2297,pending
sumy-P4,sumy,Суми,4,4,2026-06-09,2026-09-17,573,2297,pending
zaporizhzhia-P1,zaporizhzhia,Запоріжжя,1,4,2025-03-19,2025-08-27,592,2365,pending
zaporizhzhia-P2,zaporizhzhia,Запоріжжя,2,4,2025-08-28,2026-01-28,589,2365,pending
zaporizhzhia-P3,zaporizhzhia,Запоріжжя,3,4,2026-01-29,2026-05-28,594,2365,pending
zaporizhzhia-P4,zaporizhzhia,Запоріжжя,4,4,2026-05-29,2026-09-17,590,2365,pending
kharkiv-P1,kharkiv,Харків,1,6,2025-02-17,2025-06-20,593,3565,pending
kharkiv-P2,kharkiv,Харків,2,6,2025-06-21,2025-10-16,594,3565,pending
kharkiv-P3,kharkiv,Харків,3,6,2025-10-17,2026-02-02,597,3565,pending
kharkiv-P4,kharkiv,Харків,4,6,2026-02-03,2026-04-22,592,3565,pending
kharkiv-P5,kharkiv,Харків,5,6,2026-04-23,2026-07-06,596,3565,pending
kharkiv-P6,kharkiv,Харків,6,6,2026-07-07,2026-09-17,593,3565,pending
