task_id,parent_task_id,city_key,city_label,parent_part,parent_parts_total,subpart,subparts_total,episode_start_date_from,episode_start_date_to,frozen_denominator,parent_frozen_denominator,city_frozen_denominator,status
odesa-P1a,odesa-P1,odesa,Одеса,1,3,a,2,2025-11-04,2026-01-02,244,489,1465,pending
odesa-P1b,odesa-P1,odesa,Одеса,1,3,b,2,2026-01-03,2026-03-22,245,489,1465,pending
odesa-P2a,odesa-P2,odesa,Одеса,2,3,a,2,2026-03-23,2026-05-17,242,487,1465,pending
odesa-P2b,odesa-P2,odesa,Одеса,2,3,b,2,2026-05-18,2026-07-12,245,487,1465,pending
cherkasy-P1a,cherkasy-P1,cherkasy,Черкаси,1,3,a,2,2025-01-10,2025-04-16,258,517,1548,pending
cherkasy-P1b,cherkasy-P1,cherkasy,Черкаси,1,3,b,2,2025-04-17,2025-07-31,259,517,1548,pending
cherkasy-P2a,cherkasy-P2,cherkasy,Черкаси,2,3,a,2,2025-08-01,2025-12-01,257,516,1548,pending
cherkasy-P2b,cherkasy-P2,cherkasy,Черкаси,2,3,b,2,2025-12-02,2026-03-24,259,516,1548,pending
cherkasy-P3a,cherkasy-P3,cherkasy,Черкаси,3,3,a,2,2026-03-25,2026-07-05,257,515,1548,pending
cherkasy-P3b,cherkasy-P3,cherkasy,Черкаси,3,3,b,2,2026-07-06,2026-09-17,258,515,1548,pending
mykolaiv-P2a,mykolaiv-P2,mykolaiv,Миколаїв,2,3,a,2,2026-03-26,2026-05-23,274,554,1648,pending
mykolaiv-P2b,mykolaiv-P2,mykolaiv,Миколаїв,2,3,b,2,2026-05-24,2026-07-13,280,554,1648,pending
mykolaiv-P3a,mykolaiv-P3,mykolaiv,Миколаїв,3,3,a,2,2026-07-14,2026-08-14,273,543,1648,pending
mykolaiv-P3b,mykolaiv-P3,mykolaiv,Миколаїв,3,3,b,2,2026-08-15,2026-09-17,270,543,1648,pending
chernihiv-P1a,chernihiv-P1,chernihiv,Чернігів,1,3,a,2,2025-09-03,2025-11-17,276,557,1677,pending
chernihiv-P1b,chernihiv-P1,chernihiv,Чернігів,1,3,b,2,2025-11-18,2026-01-31,281,557,1677,pending
dnipro-P1a,dnipro-P1,dnipro,Дніпро,1,4,a,2,2025-05-01,2025-07-31,284,568,2259,pending
dnipro-P1b,dnipro-P1,dnipro,Дніпро,1,4,b,2,2025-08-01,2025-10-30,284,568,2259,pending
dnipro-P3a,dnipro-P3,dnipro,Дніпро,3,4,a,2,2026-03-12,2026-05-08,285,566,2259,pending
dnipro-P3b,dnipro-P3,dnipro,Дніпро,3,4,b,2,2026-05-09,2026-06-25,281,566,2259,pending
dnipro-P4a,dnipro-P4,dnipro,Дніпро,4,4,a,2,2026-06-26,2026-08-02,282,563,2259,pending
dnipro-P4b,dnipro-P4,dnipro,Дніпро,4,4,b,2,2026-08-03,2026-09-17,281,563,2259,pending
sumy-P1a,sumy-P1,sumy,Суми,1,4,a,2,2025-08-06,2025-09-21,288,573,2297,pending
sumy-P1b,sumy-P1,sumy,Суми,1,4,b,2,2025-09-22,2025-11-17,285,573,2297,pending
sumy-P2a,sumy-P2,sumy,Суми,2,4,a,2,2025-11-18,2026-01-12,284,574,2297,pending
sumy-P2b,sumy-P2,sumy,Суми,2,4,b,2,2026-01-13,2026-03-04,290,574,2297,pending
sumy-P3a,sumy-P3,sumy,Суми,3,4,a,2,2026-03-05,2026-04-25,291,577,2297,pending
sumy-P3b,sumy-P3,sumy,Суми,3,4,b,2,2026-04-26,2026-06-08,286,577,2297,pending
zaporizhzhia-P1a,zaporizhzhia-P1,zaporizhzhia,Запоріжжя,1,4,a,2,2025-03-19,2025-06-16,296,592,2365,pending
zaporizhzhia-P1b,zaporizhzhia-P1,zaporizhzhia,Запоріжжя,1,4,b,2,2025-06-17,2025-08-27,296,592,2365,pending
