city_key,city_label,source_type,coverage_start,proxy_raion,completed_alert_episodes_in_frozen_window,explosion_metric_status,strict_n,strict_pct,sensitivity_n,sensitivity_pct,progress_note,next_action,queue_rank
kyiv,Київ,exact_city,2022-02-28,,,not_started_special_source_logic,,,,,Explosion metric not researched in this phase; exact-city source/history logic is special.,Handle after normal cities unless explicitly requested.,
kharkiv,Харків,exact_city,2025-02-17,,3565,not_started,,,,,No audited explosion series in repo yet.,Process after lower-volume remaining cities.,11
zaporizhzhia,Запоріжжя,exact_city,2025-03-19,,2365,not_started,,,,,No audited explosion series in repo yet.,Process after lower-volume remaining cities.,10
cherkasy,Черкаси,raion_proxy,2025-01-10,Черкаський район,1548,not_started,,,,,No audited explosion series in repo yet.,Process after Odesa using frozen rules.,5
zhytomyr,Житомир,raion_proxy,2025-01-23,Житомирський район,685,complete_audited,19,2.77,20,2.92,Audited result frozen in repo explosion_preview_input.json; one near-boundary sensitivity-only case and one unmatched multi-episode review candidate retained in research evidence.,Do not re-audit unless methodology changes.,
dnipro,Дніпро,raion_proxy,2025-05-01,Дніпровський район,2259,not_started,,,,,No audited explosion series in repo yet.,Process after Chernihiv using frozen rules.,8
khmelnytskyi,Хмельницький,raion_proxy,2025-07-07,Хмельницький район,248,complete_audited,11,4.44,12,4.84,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
poltava,Полтава,raion_proxy,2025-08-01,Полтавський район,1805,complete_reaudited,51,2.83,53,2.94,Final re-audit remains frozen benchmark.,Do not redo; use as methodology benchmark.,
rivne,Рівне,raion_proxy,2025-08-01,Рівненський район,232,complete_audited,13,5.6,13,5.6,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
sumy,Суми,raion_proxy,2025-08-06,Сумський район,2297,not_started,,,,,No audited explosion series in repo yet.,Process after Dnipro using frozen rules.,9
vinnytsia,Вінниця,raion_proxy,2025-08-21,Вінницький район,362,complete_audited,5,1.38,7,1.93,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
kropyvnytskyi,Кропивницький,raion_proxy,2025-09-01,Кропивницький район,1161,next_priority_split,,,,,Split for token economy: K1 2025-09-01..2026-04-28 = 582 episodes; K2 2026-04-29..2026-09-17 = 579 episodes.,Run K1 and K2 in separate chats; then compact merge without re-searching raw sources.,1
lviv,Львів,raion_proxy,2025-09-01,Львівський район,126,complete_audited,12,9.52,12,9.52,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
chernihiv,Чернігів,raion_proxy,2025-09-03,Чернігівський район,1677,not_started,,,,,No audited explosion series in repo yet.,Process after Mykolaiv using frozen rules.,7
odesa,Одеса,raion_proxy,2025-11-04,Одеський район,1465,not_started,,,,,No audited explosion series in repo yet.,Process after Kherson using frozen rules.,4
kherson,Херсон,raion_proxy,2025-08-30,Херсонський район,1412,not_started,,,,,No audited explosion series in repo yet. Casualty work is a separate metric.,Process after Kropyvnytskyi using frozen rules.,3
mykolaiv,Миколаїв,raion_proxy,2025-11-05,Миколаївський район,1648,not_started,,,,,No audited explosion series in repo yet.,Process after Cherkasy using frozen rules.,6
lutsk,Луцьк,raion_proxy,2025-11-06,Луцький район,135,complete_audited,12,8.89,12,8.89,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
uzhhorod,Ужгород,raion_proxy,2025-11-06,Ужгородський район,92,complete_audited,1,1.09,1,1.09,Checkpoint is obsolete; audited result is now frozen in repo.,Do not resume old checkpoint.,
ivano_frankivsk,Івано-Франківськ,raion_proxy,2025-11-06,Івано-Франківський район,103,complete_audited,6,5.83,6,5.83,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
ternopil,Тернопіль,raion_proxy,2025-11-06,Тернопільський район,125,complete_audited,5,4,5,4,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
chernivtsi,Чернівці,raion_proxy,2025-11-06,Чернівецький район,113,complete_audited,2,1.77,2,1.77,Audited result frozen in repo explosion_preview_input.json.,Do not re-audit unless methodology changes.,
sevastopol,Севастополь,exact_city_special,2023-09-25,,,not_started_special_source_logic,,,,,Explosion metric not researched in this phase; source provenance/history logic is special.,Handle after normal cities unless explicitly requested.,
