oblast,raion_count,any_alert_hours,explicit_oblast_hours,full_coverage_hours,explicit_oblast_share_pct,full_coverage_share_pct,episodes,episodes_reaching_full,episodes_reaching_full_pct,raions_with_2026_data
Івано-Франківська область,6,67.573,0.0,61.024,0.0,90.3,75,72,96.0,6
Волинська область,4,106.36,0.0,51.716,0.0,48.6,112,67,59.8,4
Вінницька область,6,293.319,0.0,185.667,0.0,63.3,263,197,74.9,6
Дніпропетровська область,7,5413.291,0.0,0.0,0.0,0.0,833,0,0.0,6
Донецька область,8,5425.298,0.0,5425.298,0.0,100.0,637,637,100.0,8
Житомирська область,4,571.35,0.0,0.0,0.0,0.0,401,0,0.0,3
Закарпатська область,6,51.102,0.0,50.644,0.0,99.1,68,67,98.5,6
Запорізька область,5,4899.338,0.0,4891.839,0.0,99.8,1177,1177,100.0,5
Київська область,7,1238.434,0.0,270.716,0.0,21.9,773,291,37.6,7
Кіровоградська область,4,1080.52,0.0,379.888,0.0,35.2,968,526,54.3,4
Луганська область,4,0.0,0.0,0.0,,,0,0,,0
Львівська область,7,67.858,0.0,50.981,0.0,75.1,79,66,83.5,7
Миколаївська область,4,1432.603,0.0,277.821,0.0,19.4,1573,403,25.6,4
Одеська область,7,1163.533,0.0,197.263,0.0,17.0,1404,342,24.4,7
Полтавська область,4,2013.677,0.0,605.221,0.0,30.1,1324,622,47.0,4
Рівненська область,4,235.123,0.0,81.139,0.0,34.5,177,82,46.3,4
Сумська область,5,4897.102,0.0,1039.722,0.0,21.2,1267,512,40.4,5
Тернопільська область,3,89.355,0.0,89.355,0.0,100.0,92,92,100.0,3
Харківська область,7,5119.26,0.0,937.981,0.0,18.3,1489,541,36.3,7
Херсонська область,5,1703.671,0.0,380.972,0.0,22.4,1350,472,35.0,5
Хмельницька область,3,164.045,0.0,93.355,0.0,56.9,148,93,62.8,3
Черкаська область,4,745.765,0.0,364.953,0.0,48.9,714,486,68.1,4
Чернівецька область,3,101.016,0.0,74.349,0.0,73.6,94,76,80.9,3
Чернігівська область,5,4089.156,0.0,729.232,0.0,17.8,1224,403,32.9,5
