time,month,alerts_per_day,avg_daily_alert_hours,avg_alert_duration_min,alerts_started
2022-02-01T00:00:00+02:00,2022-02,0.286,0.215,45.223,8
2022-03-01T00:00:00+02:00,2022-03,6.129,6.862,67.172,190
2022-04-01T00:00:00+03:00,2022-04,2.367,2.248,56.994,71
2022-05-01T00:00:00+03:00,2022-05,2.226,2.084,56.169,69
2022-06-01T00:00:00+03:00,2022-06,1.867,1.57,50.468,56
2022-07-01T00:00:00+03:00,2022-07,1.065,1.158,65.253,33
2022-08-01T00:00:00+03:00,2022-08,1.387,0.987,42.697,43
2022-09-01T00:00:00+03:00,2022-09,0.833,0.488,35.167,25
2022-10-01T00:00:00+03:00,2022-10,1.774,2.508,84.815,55
2022-11-01T00:00:00+02:00,2022-11,0.533,0.781,87.833,16
2022-12-01T00:00:00+02:00,2022-12,0.839,1.344,96.166,26
2023-01-01T00:00:00+02:00,2023-01,0.581,1.092,112.798,18
2023-02-01T00:00:00+02:00,2023-02,0.964,1.249,80.751,27
2023-03-01T00:00:00+02:00,2023-03,1.161,1.682,84.649,36
2023-04-01T00:00:00+03:00,2023-04,0.3,0.36,71.957,9
2023-05-01T00:00:00+03:00,2023-05,1.032,2.169,126.07,32
2023-06-01T00:00:00+03:00,2023-06,0.933,1.192,76.647,28
2023-07-01T00:00:00+03:00,2023-07,0.742,0.769,62.191,23
2023-08-01T00:00:00+03:00,2023-08,1.452,1.187,49.077,45
2023-09-01T00:00:00+03:00,2023-09,0.567,0.656,69.498,17
2023-10-01T00:00:00+03:00,2023-10,0.194,0.179,55.461,6
2023-11-01T00:00:00+02:00,2023-11,0.767,1.253,98.049,23
2023-12-01T00:00:00+02:00,2023-12,1.194,1.405,70.615,37
2024-01-01T00:00:00+02:00,2024-01,1.129,1.433,76.142,35
2024-02-01T00:00:00+02:00,2024-02,0.552,0.634,68.901,16
2024-03-01T00:00:00+02:00,2024-03,1.258,0.903,43.087,39
2024-04-01T00:00:00+03:00,2024-04,0.833,0.679,48.859,25
2024-05-01T00:00:00+03:00,2024-05,1.194,0.792,39.834,37
2024-06-01T00:00:00+03:00,2024-06,1.2,0.965,48.269,36
2024-07-01T00:00:00+03:00,2024-07,1.452,1.087,44.935,45
2024-08-01T00:00:00+03:00,2024-08,2.032,1.534,45.286,63
2024-09-01T00:00:00+03:00,2024-09,1.3,1.672,77.187,39
2024-10-01T00:00:00+03:00,2024-10,1.742,2.571,88.556,54
2024-11-01T00:00:00+02:00,2024-11,2.1,3.881,110.898,63
2024-12-01T00:00:00+02:00,2024-12,1.581,1.586,60.214,49
2025-01-01T00:00:00+02:00,2025-01,1.935,1.716,53.187,60
2025-02-01T00:00:00+02:00,2025-02,1.571,4.348,170.872,44
2025-03-01T00:00:00+02:00,2025-03,1.129,2.227,112.264,35
2025-04-01T00:00:00+03:00,2025-04,1.533,1.456,56.958,46
2025-05-01T00:00:00+03:00,2025-05,1.226,1.73,84.67,38
2025-06-01T00:00:00+03:00,2025-06,1.167,2.385,122.652,35
2025-07-01T00:00:00+03:00,2025-07,1.581,2.497,94.797,49
2025-08-01T00:00:00+03:00,2025-08,1.516,1.473,58.276,47
2025-09-01T00:00:00+03:00,2025-09,1.533,2.12,82.955,46
2025-10-01T00:00:00+03:00,2025-10,1.484,1.692,68.418,46
2025-11-01T00:00:00+02:00,2025-11,1.367,1.601,70.288,41
2025-12-01T00:00:00+02:00,2025-12,0.774,1.284,99.477,24
2026-01-01T00:00:00+02:00,2026-01,1.871,1.884,60.421,58
2026-02-01T00:00:00+02:00,2026-02,1.464,1.583,64.859,41
2026-03-01T00:00:00+02:00,2026-03,1.258,1.104,52.67,39
2026-04-01T00:00:00+03:00,2026-04,1.167,0.815,41.926,35
2026-05-01T00:00:00+03:00,2026-05,1.871,1.644,52.706,58
2026-06-01T00:00:00+03:00,2026-06,1.533,1.081,42.289,46
2026-07-01T00:00:00+03:00,2026-07,1.903,1.616,50.951,59
2026-08-01T00:00:00+03:00,2026-08,3.903,3.303,50.904,121
