city,display_name,oblast,raion,coverage_start,coverage_start_basis,post_rollout_raion_hours,post_rollout_explicit_oblast_hours,post_rollout_overlap_hours,post_rollout_oblast_only_hours_added,post_rollout_raion_only_hours,post_rollout_combined_proxy_hours,post_rollout_combined_vs_raion_increase_pct,post_rollout_oblast_only_share_of_combined_pct,post_rollout_raion_interval_count,post_rollout_combined_interval_count,y2026_raion_hours,y2026_explicit_oblast_hours,y2026_overlap_hours,y2026_oblast_only_hours_added,y2026_raion_only_hours,y2026_combined_proxy_hours,y2026_combined_vs_raion_increase_pct,y2026_oblast_only_share_of_combined_pct,y2026_raion_interval_count,y2026_combined_interval_count
cherkasy,Черкаси,Черкаська область,Черкаський район,2025-01-10,official_rollout,1791.747,301.334,8.744,292.589,1783.003,2084.336,16.33,14.04,1058,1495,668.576,0.0,0.0,0.0,668.576,668.576,0.0,0.0,674,674
zhytomyr,Житомир,Житомирська область,Житомирський район,2025-01-23,official_test_rollout,493.034,597.271,0.375,596.896,492.659,1089.93,121.07,54.76,379,648,341.831,0.0,0.0,0.0,341.831,341.831,0.0,0.0,303,303
dnipro,Дніпро,Дніпропетровська область,Дніпровський район,2025-05-01,official_rollout,2250.105,351.025,68.172,282.853,2181.932,2532.957,12.57,11.17,1826,2178,1427.59,0.0,0.0,0.0,1427.59,1427.59,0.0,0.0,1390,1390
khmelnytskyi,Хмельницький,Хмельницька область,Хмельницький район,2025-07-07,official_rollout,245.036,35.133,0.0,35.133,245.036,280.169,14.34,12.54,204,229,146.584,0.0,0.0,0.0,146.584,146.584,0.0,0.0,133,133
poltava,Полтава,Полтавська область,Полтавський район,2025-08-01,official_rollout,2634.739,20.814,2.311,18.503,2632.428,2653.242,0.7,0.7,1718,1732,1738.244,0.0,0.0,0.0,1738.244,1738.244,0.0,0.0,1203,1203
rivne,Рівне,Рівненська область,Рівненський район,2025-08-01,official_rollout,223.577,26.191,0.247,25.944,223.33,249.521,11.6,10.4,186,208,149.792,0.0,0.0,0.0,149.792,149.792,0.0,0.0,141,141
sumy,Суми,Сумська область,Сумський район,2025-08-06,official_rollout,6356.165,30.518,4.641,25.877,6351.524,6382.042,0.41,0.41,2191,2215,4305.745,0.0,0.0,0.0,4305.745,4305.745,0.0,0.0,1416,1416
vinnytsia,Вінниця,Вінницька область,Вінницький район,2025-08-21,official_rollout,356.794,37.906,0.0,37.906,356.794,394.701,10.62,9.6,299,332,247.768,0.0,0.0,0.0,247.768,247.768,0.0,0.0,241,241
kherson,Херсон,Херсонська область,Херсонський район,2025-08-30,source_observed,1462.865,175.897,1.148,174.749,1461.717,1637.614,11.95,10.67,1229,1355,1134.018,0.0,0.0,0.0,1134.018,1134.018,0.0,0.0,1048,1048
kropyvnytskyi,Кропивницький,Кіровоградська область,Кропивницький район,2025-09-01,official_permanent_rollout,1182.077,16.154,3.834,12.32,1178.243,1194.397,1.04,1.03,1078,1099,879.006,0.0,0.0,0.0,879.006,879.006,0.0,0.0,845,845
lviv,Львів,Львівська область,Львівський район,2025-09-01,official_rollout,89.623,27.269,0.0,27.269,89.623,116.892,30.43,23.33,98,120,62.016,0.0,0.0,0.0,62.016,62.016,0.0,0.0,75,75
chernihiv,Чернігів,Чернігівська область,Чернігівський район,2025-09-03,official_permanent_rollout,3441.752,3.847,0.618,3.229,3441.134,3444.981,0.09,0.09,1600,1607,2249.467,0.0,0.0,0.0,2249.467,2249.467,0.0,0.0,1191,1191
odesa,Одеса,Одеська область,Одеський район,2025-11-04,official_rollout,1094.039,2.404,0.0,2.404,1094.039,1096.443,0.22,0.22,1370,1373,756.666,0.0,0.0,0.0,756.666,756.666,0.0,0.0,1138,1138
lutsk,Луцьк,Волинська область,Луцький район,2025-11-06,source_observed,108.127,0.0,0.0,0.0,108.127,108.127,0.0,0.0,119,119,83.971,0.0,0.0,0.0,83.971,83.971,0.0,0.0,99,99
uzhhorod,Ужгород,Закарпатська область,Ужгородський район,2025-11-06,source_observed,69.251,0.0,0.0,0.0,69.251,69.251,0.0,0.0,89,89,50.644,0.0,0.0,0.0,50.644,50.644,0.0,0.0,67,67
ivano_frankivsk,Івано-Франківськ,Івано-Франківська область,Івано-Франківський район,2025-11-06,source_observed,88.484,0.0,0.0,0.0,88.484,88.484,0.0,0.0,97,97,64.924,0.0,0.0,0.0,64.924,64.924,0.0,0.0,74,74
chernivtsi,Чернівці,Чернівецька область,Чернівецький район,2025-11-06,source_observed,104.979,0.0,0.0,0.0,104.979,104.979,0.0,0.0,106,106,76.339,0.0,0.0,0.0,76.339,76.339,0.0,0.0,77,77
