city,display_name,oblast,raion,first_observed_event,stable_start_candidate,preceding_gap_days,post_candidate_events,post_candidate_max_gap_days,last_observed_event,known_validated_start,candidate_matches_known
vinnytsia,Вінниця,Вінницька область,Вінницький район,2022-06-09,2025-08-20,1168.43,299,20.05,2026-09-05,,
lutsk,Луцьк,Волинська область,Луцький район,2025-11-06,2025-11-06,,119,21.87,2026-09-05,,
dnipro,Дніпро,Дніпропетровська область,Дніпровський район,2025-05-01,2025-05-01,,1826,8.02,2026-09-07,,
zhytomyr,Житомир,Житомирська область,Житомирський район,2022-03-15,2025-10-07,244.84,366,10.01,2026-09-05,,
uzhhorod,Ужгород,Закарпатська область,Ужгородський район,2025-11-06,2025-11-06,,89,33.39,2026-08-07,,
ivano_frankivsk,Івано-Франківськ,Івано-Франківська область,Івано-Франківський район,2025-11-06,2025-11-06,,97,24.09,2026-08-07,,
kropyvnytskyi,Кропивницький,Кіровоградська область,Кропивницький район,2022-03-16,2025-08-27,1248.99,1089,4.41,2026-09-06,,
lviv,Львів,Львівська область,Львівський район,2025-09-03,2025-09-03,,98,57.42,2026-08-07,,
mykolaiv,Миколаїв,Миколаївська область,Миколаївський район,2022-03-18,2025-11-05,1280.31,1551,4.45,2026-09-07,,
odesa,Одеса,Одеська область,Одеський район,2022-03-16,2025-11-04,1321.1,1370,4.75,2026-09-06,2025-11-04,True
poltava,Полтава,Полтавська область,Полтавський район,2025-08-01,2025-08-01,,1718,4.39,2026-09-07,,
rivne,Рівне,Рівненська область,Рівненський район,2025-08-20,2025-08-20,,186,17.18,2026-09-05,2025-08-01,False
sumy,Суми,Сумська область,Сумський район,2022-03-16,2025-08-06,715.51,2191,4.7,2026-09-07,,
ternopil,Тернопіль,Тернопільська область,Тернопільський район,2025-11-06,2025-11-06,,114,21.85,2026-09-03,,
kherson,Херсон,Херсонська область,Херсонський район,2025-08-30,2025-08-30,,1229,20.61,2026-09-06,,
khmelnytskyi,Хмельницький,Хмельницька область,Хмельницький район,2025-07-26,2025-07-26,,204,21.81,2026-09-05,,
cherkasy,Черкаси,Черкаська область,Черкаський район,2022-03-18,2025-01-10,1028.77,1058,6.95,2026-09-06,,
chernivtsi,Чернівці,Чернівецька область,Чернівецький район,2022-06-07,2025-11-06,1247.64,106,24.03,2026-09-05,,
chernihiv,Чернігів,Чернігівська область,Чернігівський район,2022-03-22,2025-08-27,1221.96,1632,4.56,2026-09-06,,
